time,U1,U2,U3
0.001,0.784529,1.00024,1.00024
0.002,0.797699,1.00025,1.00025
0.003,0.795249,1.00025,1.00025
0.004,0.796044,1.00025,1.00025
0.005,0.794283,1.00025,1.00025
0.006,0.79145,1.00025,1.00025
0.007,0.793674,1.00026,1.00026
0.008,0.794009,1.00026,1.00026
0.009,0.793587,1.00026,1.00026
0.01,0.795194,1.00026,1.00026
0.011,0.794362,1.00026,1.00026
0.012,0.793675,1.00026,1.00026
0.013,0.795601,1.00026,1.00026
0.014,0.792931,1.00026,1.00026
0.015,0.793414,1.00026,1.00026
0.016,0.791593,1.00026,1.00026
0.017,0.792494,1.00026,1.00026
0.018,0.79375,1.00026,1.00026
0.019,0.792398,1.00026,1.00026
0.02,0.790573,1.00026,1.00026
0.021,0.793895,1.00026,1.00026
0.022,0.793365,1.00026,1.00026
0.023,0.792675,1.00026,1.00026
0.024,0.792887,1.00026,1.00026
0.025,0.791661,1.00026,1.00026
0.026,0.79305,1.00026,1.00026
0.027,0.792607,1.00026,1.00026
0.028,0.792926,1.00026,1.00026
0.029,0.791968,1.00026,1.00026
0.03,0.792715,1.00026,1.00026
0.031,0.792482,1.00026,1.00026
0.032,0.791034,1.00026,1.00026
0.033,0.79766,1.00026,1.00026
0.034,0.792855,1.00026,1.00026
0.035,0.794079,1.00026,1.00026
0.036,0.79154,1.00026,1.00026
0.037,0.792312,1.00026,1.00026
0.038,0.794534,1.00026,1.00026
0.039,0.792288,1.00026,1.00026
0.04,0.793833,1.00026,1.00026
0.041,0.792663,1.00026,1.00026
0.042,0.793361,1.00026,1.00026
0.043,0.793004,1.00026,1.00026
0.044,0.792551,1.00026,1.00026
0.045,0.791128,1.00026,1.00026
0.046,0.792788,1.00026,1.00026
0.047,0.792679,1.00026,1.00026
0.048,0.791923,1.00026,1.00026
0.049,0.791326,1.00026,1.00027
0.05,0.789303,1.00028,1.00029
0.051,0.794222,1.00023,1.00022
0.052,0.792816,1.00025,1.00024
0.053,0.791231,1.00025,1.00025
0.054,0.794894,1.00025,1.00025
0.055,0.792946,1.00025,1.00025
0.056,0.791418,1.00025,1.00025
0.057,0.79265,1.00025,1.00025
0.058,0.792646,1.00025,1.00025
0.059,0.792674,1.00025,1.00025
0.06,0.792727,1.00025,1.00025
0.061,0.792613,1.00026,1.00025
0.062,0.792936,1.00026,1.00025
0.063,0.792893,1.00025,1.00025
0.064,0.792846,1.00025,1.00025
0.065,0.792205,1.00025,1.00025
0.066,0.791976,1.00026,1.00025
0.067,0.789063,1.00026,1.00025
0.068,0.791569,1.00026,1.00025
0.069,0.793137,1.00026,1.00025
0.07,0.788612,1.00025,1.00025
0.071,0.793102,1.00026,1.00025
0.072,0.79135,1.00026,1.00025
0.073,0.792734,1.00026,1.00026
0.074,0.793136,1.00026,1.00026
0.075,0.793186,1.00026,1.00026
0.076,0.79311,1.00026,1.00026
0.077,0.792576,1.00026,1.00026
0.078,0.792733,1.00026,1.00026
0.079,0.792645,1.00026,1.00026
0.08,0.792387,1.00026,1.00026
0.081,0.792292,1.00026,1.00026
0.082,0.792053,1.00026,1.00026
0.083,0.792092,1.00026,1.00026
0.084,0.792597,1.00026,1.00026
0.085,0.792869,1.00026,1.00026
0.086,0.792852,1.00026,1.00026
0.087,0.792252,1.00026,1.00026
0.088,0.791798,1.00026,1.00026
0.089,0.791981,1.00026,1.00026
0.09,0.792483,1.00026,1.00026
0.091,0.792556,1.00026,1.00026
0.092,0.79311,1.00026,1.00026
0.093,0.791762,1.00026,1.00026
0.094,0.792073,1.00026,1.00026
0.095,0.792171,1.00026,1.00026
0.096,0.792349,1.00026,1.00026
0.097,0.791675,1.00026,1.00026
0.098,0.792293,1.00026,1.00026
0.099,0.79137,1.00026,1.00027
0.1,0.78989,1.00028,1.00031
0.101,0.795493,1.00023,1.0002
0.102,0.792674,1.00025,1.00024
0.103,0.792078,1.00025,1.00024
0.104,0.793122,1.00025,1.00025
0.105,0.79246,1.00025,1.00025
0.106,0.791525,1.00025,1.00025
0.107,0.792202,1.00025,1.00025
0.108,0.791913,1.00025,1.00025
0.109,0.793136,1.00025,1.00025
0.11,0.792926,1.00025,1.00025
0.111,0.792115,1.00025,1.00025
0.112,0.796716,1.00025,1.00025
0.113,0.792951,1.00025,1.00025
0.114,0.792783,1.00025,1.00025
0.115,0.793037,1.00025,1.00025
0.116,0.792777,1.00025,1.00025
0.117,0.791751,1.00025,1.00025
0.118,0.792445,1.00025,1.00025
0.119,0.792769,1.00025,1.00025
0.12,0.79202,1.00025,1.00025
0.121,0.790657,1.00025,1.00025
0.122,0.792752,1.00025,1.00025
0.123,0.792421,1.00025,1.00025
0.124,0.792829,1.00025,1.00025
0.125,0.792091,1.00025,1.00025
0.126,0.794365,1.00025,1.00025
0.127,0.791508,1.00025,1.00025
0.128,0.793096,1.00025,1.00025
0.129,0.793028,1.00025,1.00025
0.13,0.792726,1.00025,1.00025
0.131,0.792662,1.00025,1.00025
0.132,0.791474,1.00025,1.00025
0.133,0.792739,1.00025,1.00025
0.134,0.790948,1.00025,1.00025
0.135,0.792286,1.00025,1.00025
0.136,0.792849,1.00025,1.00025
0.137,0.79196,1.00025,1.00025
0.138,0.792233,1.00025,1.00025
0.139,0.79207,1.00025,1.00025
0.14,0.792487,1.00025,1.00025
0.141,0.791885,1.00025,1.00026
0.142,0.792298,1.00025,1.00026
0.143,0.791545,1.00025,1.00026
0.144,0.792674,1.00025,1.00026
0.145,0.792633,1.00025,1.00026
0.146,0.792191,1.00026,1.00026
0.147,0.792206,1.00026,1.00026
0.148,0.792068,1.00026,1.00027
0.149,0.792058,1.00026,1.00028
0.15,0.78959,1.00028,1.00034
0.151,0.796066,1.00023,1.00017
0.152,0.793546,1.00024,1.00022
0.153,0.792872,1.00025,1.00023
0.154,0.791172,1.00025,1.00024
0.155,0.790567,1.00025,1.00024
0.156,0.793191,1.00025,1.00024
0.157,0.792956,1.00025,1.00024
0.158,0.792683,1.00025,1.00024
0.159,0.792763,1.00025,1.00025
0.16,0.79272,1.00025,1.00025
0.161,0.792979,1.00025,1.00025
0.162,0.79281,1.00025,1.00025
0.163,0.792935,1.00025,1.00025
0.164,0.792046,1.00025,1.00025
0.165,0.792322,1.00025,1.00025
0.166,0.792658,1.00025,1.00025
0.167,0.793023,1.00025,1.00025
0.168,0.792635,1.00025,1.00025
0.169,0.792131,1.00025,1.00025
0.17,0.792267,1.00025,1.00025
0.171,0.792838,1.00025,1.00025
0.172,0.791958,1.00025,1.00025
0.173,0.792357,1.00025,1.00025
0.174,0.791652,1.00025,1.00025
0.175,0.792225,1.00025,1.00025
0.176,0.792944,1.00025,1.00025
0.177,0.792791,1.00025,1.00025
0.178,0.792784,1.00025,1.00025
0.179,0.792777,1.00025,1.00025
0.18,0.792576,1.00025,1.00025
0.181,0.791793,1.00025,1.00025
0.182,0.792754,1.00025,1.00025
0.183,0.791584,1.00025,1.00025
0.184,0.791866,1.00025,1.00025
0.185,0.79331,1.00025,1.00025
0.186,0.792255,1.00025,1.00025
0.187,0.792711,1.00025,1.00025
0.188,0.790957,1.00025,1.00025
0.189,0.792688,1.00025,1.00025
0.19,0.792094,1.00025,1.00025
0.191,0.792079,1.00025,1.00025
0.192,0.79119,1.00025,1.00025
0.193,0.792041,1.00025,1.00026
0.194,0.792595,1.00025,1.00026
0.195,0.791689,1.00025,1.00026
0.196,0.792513,1.00025,1.00026
0.197,0.792437,1.00025,1.00026
0.198,0.791156,1.00025,1.00027
0.199,0.791469,1.00026,1.00029
0.2,0.790974,1.00028,1.00036
0.201,0.795253,1.00022,1.00013
0.202,0.791863,1.00024,1.00021
0.203,0.792847,1.00024,1.00023
0.204,0.792792,1.00024,1.00023
0.205,0.792417,1.00025,1.00024
0.206,0.791783,1.00025,1.00024
0.207,0.791745,1.00025,1.00024
0.208,0.792685,1.00025,1.00024
0.209,0.791694,1.00025,1.00024
0.21,0.791869,1.00025,1.00024
0.211,0.792241,1.00025,1.00024
0.212,0.792227,1.00025,1.00024
0.213,0.792215,1.00025,1.00024
0.214,0.792494,1.00025,1.00024
0.215,0.792193,1.00025,1.00024
0.216,0.791603,1.00025,1.00024
0.217,0.792562,1.00025,1.00024
0.218,0.792165,1.00025,1.00024
0.219,0.79235,1.00025,1.00024
0.22,0.792728,1.00025,1.00025
0.221,0.792719,1.00025,1.00025
0.222,0.79271,1.00025,1.00025
0.223,0.792507,1.00025,1.00025
0.224,0.79269,1.00025,1.00025
0.225,0.792678,1.00025,1.00025
0.226,0.792084,1.00025,1.00025
0.227,0.792649,1.00025,1.00025
0.228,0.792629,1.00025,1.00025
0.229,0.7926,1.00025,1.00025
0.23,0.792168,1.00025,1.00025
0.231,0.791883,1.00025,1.00025
0.232,0.791253,1.00025,1.00025
0.233,0.792731,1.00025,1.00025
0.234,0.793544,1.00025,1.00025
0.235,0.791861,1.00025,1.00025
0.236,0.79161,1.00025,1.00025
0.237,0.792155,1.00025,1.00025
0.238,0.79271,1.00025,1.00025
0.239,0.792687,1.00025,1.00025
0.24,0.792086,1.00025,1.00025
0.241,0.792646,1.00025,1.00025
0.242,0.792044,1.00025,1.00025
0.243,0.793181,1.00025,1.00025
0.244,0.792282,1.00025,1.00026
0.245,0.792536,1.00025,1.00026
0.246,0.791326,1.00025,1.00026
0.247,0.792127,1.00025,1.00026
0.248,0.792299,1.00025,1.00027
0.249,0.79205,1.00025,1.00029
0.25,0.790557,1.00027,1.00039
0.251,0.797187,1.00021,1.0001
0.252,0.793626,1.00023,1.0002
0.253,0.793214,1.00024,1.00021
0.254,0.792181,1.00024,1.00022
0.255,0.792964,1.00024,1.00023
0.256,0.792907,1.00024,1.00023
0.257,0.792577,1.00024,1.00023
0.258,0.792836,1.00024,1.00023
0.259,0.792812,1.00024,1.00024
0.26,0.792596,1.00024,1.00024
0.261,0.792481,1.00024,1.00024
0.262,0.792173,1.00024,1.00024
0.263,0.792737,1.00024,1.00024
0.264,0.792429,1.00024,1.00024
0.265,0.7927,1.00024,1.00024
0.266,0.792097,1.00024,1.00024
0.267,0.792066,1.00024,1.00024
0.268,0.792212,1.00024,1.00024
0.269,0.791922,1.00024,1.00024
0.27,0.792119,1.00024,1.00024
0.271,0.79319,1.00024,1.00024
0.272,0.793005,1.00024,1.00024
0.273,0.792299,1.00024,1.00024
0.274,0.792246,1.00024,1.00024
0.275,0.791052,1.00024,1.00024
0.276,0.791902,1.00024,1.00024
0.277,0.792177,1.00024,1.00024
0.278,0.792163,1.00024,1.00024
0.279,0.792152,1.00024,1.00024
0.28,0.792723,1.00024,1.00024
0.281,0.792132,1.00024,1.00024
0.282,0.792705,1.00024,1.00024
0.283,0.792696,1.00024,1.00024
0.284,0.792688,1.00024,1.00024
0.285,0.79326,1.00024,1.00024
0.286,0.79267,1.00024,1.00025
0.287,0.791499,1.00024,1.00025
0.288,0.79207,1.00024,1.00025
0.289,0.79264,1.00024,1.00025
