time,U1,U2,U3,U4,U5,U6
0.001,0.769906,0.800513,0.998958,0.769914,0.998958,0.800508
0.002,0.716497,0.730654,0.998957,0.7165,0.998957,0.730677
0.003,0.715711,0.726324,0.998958,0.715709,0.998958,0.72631
0.004,0.715875,0.73246,0.998962,0.715876,0.998962,0.732458
0.005,0.716844,0.733199,0.998961,0.716842,0.998961,0.733214
0.006,0.716695,0.73294,0.998974,0.716692,0.998974,0.732922
0.007,0.706535,0.724624,0.998964,0.706533,0.998964,0.724611
0.008,0.718728,0.727556,0.998977,0.718728,0.998977,0.727522
0.009,0.717094,0.72679,0.998964,0.717092,0.998964,0.726836
0.01,0.715853,0.727146,0.99898,0.715851,0.99898,0.727139
0.011,0.716997,0.722305,0.998966,0.716992,0.998966,0.722333
0.012,0.71554,0.724787,0.998965,0.715536,0.998965,0.724798
0.013,0.716708,0.726962,0.998966,0.716709,0.998966,0.726884
0.014,0.726045,0.724915,0.998969,0.726046,0.998969,0.724875
0.015,0.715714,0.720705,0.998911,0.715707,0.998911,0.720735
0.016,0.71678,0.722169,0.998967,0.716775,0.998967,0.722218
0.017,0.716909,0.722053,0.998965,0.7169,0.998965,0.722043
0.018,0.659772,0.713454,0.998969,0.65976,0.998969,0.713408
0.019,0.720724,0.718544,0.998961,0.720718,0.998961,0.718521
0.02,0.71768,0.721601,0.99897,0.717676,0.998969,0.721597
0.021,0.717246,0.719974,0.998971,0.717246,0.998971,0.719982
0.022,0.717291,0.720227,0.998972,0.717294,0.998972,0.720236
0.023,0.714834,0.731073,0.99897,0.714835,0.998971,0.73109
0.024,0.716308,0.721749,0.998968,0.716312,0.998967,0.721771
0.025,0.740742,0.720666,0.998971,0.74075,0.998971,0.720687
0.026,0.717622,0.720767,0.998975,0.717628,0.998975,0.720791
0.027,0.716963,0.720001,0.998975,0.716967,0.998976,0.720015
0.028,0.71889,0.720432,0.998973,0.718894,0.998973,0.720415
0.029,0.716101,0.720629,0.998975,0.716105,0.998975,0.720612
0.03,0.717239,0.724949,0.998975,0.717243,0.998975,0.724946
0.031,0.716714,0.72022,0.998978,0.716718,0.998978,0.720231
0.032,0.716948,0.713018,0.99899,0.716953,0.99899,0.713039
0.033,0.71653,0.719346,0.998979,0.716532,0.998979,0.719377
0.034,0.716787,0.720329,0.99898,0.716785,0.99898,0.720361
0.035,0.717497,0.718868,0.998981,0.717495,0.998981,0.718887
0.036,0.71656,0.719698,0.998972,0.716556,0.998972,0.719707
0.037,0.71653,0.719579,0.998973,0.716524,0.998973,0.719587
0.038,0.717752,0.720225,0.998992,0.717748,0.998992,0.720237
0.039,0.716207,0.719398,0.998987,0.716199,0.998987,0.71941
0.04,0.716666,0.719513,0.998985,0.716657,0.998984,0.719535
0.041,0.716608,0.206233,0.998985,0.716594,0.998985,0.205638
0.042,0.717198,0.721923,0.998984,0.717182,0.998984,0.721933
0.043,0.729482,0.718632,0.998989,0.729469,0.998989,0.718632
0.044,0.716671,0.718414,0.998988,0.716655,0.998989,0.718409
0.045,0.716581,0.719234,0.998982,0.716562,0.998982,0.71923
0.046,0.716962,0.719064,0.998995,0.716946,0.998995,0.719065
0.047,0.716668,0.719429,0.998989,0.716653,0.998989,0.719438
0.048,0.717393,0.71897,0.998987,0.717378,0.998986,0.718983
0.049,0.714316,0.718278,0.999555,0.714302,0.999555,0.718292
0.05,0.716096,0.719169,0.998991,0.71608,0.998991,0.719184
0.051,0.716795,0.719317,0.998991,0.716779,0.998991,0.719334
0.052,0.716341,0.71875,0.998988,0.716324,0.998988,0.718765
0.053,0.715092,0.718263,0.998992,0.715076,0.998991,0.718275
0.054,0.716861,0.718875,0.998995,0.716841,0.998995,0.718885
0.055,0.71543,0.718444,0.998993,0.715411,0.998993,0.718452
0.056,0.717177,0.719299,0.998996,0.717158,0.998995,0.719304
0.057,0.715609,0.718863,0.998746,0.715592,0.998746,0.71887
0.058,0.716996,0.720766,0.99902,0.716982,0.99902,0.720776
0.059,0.716424,0.716617,0.998994,0.716411,0.998994,0.716627
0.06,0.716411,0.718462,0.999003,0.7164,0.999003,0.718471
0.061,0.717015,0.718335,0.999,0.717004,0.999,0.718346
0.062,0.722824,0.718245,0.998998,0.722815,0.998998,0.718256
0.063,0.716729,0.71816,0.999001,0.716719,0.999001,0.718172
0.064,0.714217,0.718006,0.998999,0.714207,0.998999,0.718015
0.065,0.716382,0.717138,0.998999,0.716374,0.998999,0.717144
0.066,0.722394,0.718054,0.999001,0.72239,0.999001,0.718056
0.067,0.71716,0.718144,0.999003,0.717152,0.999003,0.718137
0.068,0.716448,0.715324,0.998985,0.716445,0.998985,0.715314
